id;zagolovok;index;name;date;sheets;number;direction;note;
57;;6-01/475;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;29.04.2013;;;;"ООО ""Русагро-Молоко""";
58;;6-02/1493;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;27.08.2013;;;;"ИП Глава КФХ Бабанин В.Е.
ИП Глава КФХ Бурдюгов В.В.
 КХ ""Альфа"" Шебекенского района
 ИП Глава КФХ Рязанов Н.Б. 
ОАО ""АПК ""Бирюченский"" 
ОАО ""АПК ""Бирюченский""
ОАО ""Самаринское"" Краногвардейского района
 ИП Глава КФХ Шляпов В.В. 
ИП Глава КФХ Васютина Л.В.
ЗАО ""Чуевские сады""
 ООО ""Заря 2000""
ООО ""Заря 2000""
ООО ""Луценково""
 ОАО ""Губкинагроснаб"" 
ЗАО ""Краснояружская зерновая компания""
ЗАО ""Краснояружская зерновая компания""
ЗАО ""Краснояружская зерновая компания""
ИП Снаговский Н.Ф. Глава НФХ ""Грачева пасека""";
59;;6-01/849;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;12.07.2013;;;;"ЗАО ""Краснояружская зерновая компания""";
60;;6-01/496;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;30.04.2013;;;;"ЗАО ""Вейделевское""";
61;;6-01/494;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;30.04.2013;;;;"ООО ""Питомник Савватеевых. Белгород""";
62;;6-01/506;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;06.05.2013;;;;"ООО ""Мясные фермы-Искра""";
63;;6-04/331;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;16.05.2013;;;;"ОАО ""МК ""Зеленая долина""";
64;;6-01/474;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;29.04.2013;;;;"ООО ""Комбинат по переработке шрота""";
65;;6-01/630;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;27.05.2013;;;;"ООО ""Молочная компания ""Зеленая долина""";
66;;6-04/331;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;16.05.2013;;;;"ООО ""Молочная компания ""Зеленая долина""";
67;;6-01/629;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;27.05.2013;;;;"ООО ""Молочная компания ""Зеленая долина""";
68;;6-02/1477;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;27.08.2013;;;;"ООО ""Белгранкорм""";
69;;6-01/504;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;06.05.2013;;;;"ООО ""Русагро-Инвест""
ИП С.В. Стрельцов (№133021/0003 от 06.03.13)
ИП С.В. Стрельцов (№133021/0002 от 06.03.13)";
70;;6-01/901;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;29.07.2013;;;;"СПК ""Вислое"" (№133001/0004 от 16.04.13)
СПК ""Вислое"" (№133001/0003 от 12.04.13)
ИП Глава КФХ Троценко А.В. (№133017/0009 от 29.03.13)
ИП Глава КФХ Бабынин В.И. (№133007/0011 от 24.06.13)
ИП Глава КФХ Бабынин В.И 
ООО ""Агротех Гарант"" Алексеевский"" (№ КС-725000/2013/00042 от 25.03.13 )";
71;Вологодская область;5477;Заявка Департамента сельского хозяйства , продовольственных ресурсов и торговли Вологодской области на участие в отборе;21.08.2013;;;;"СПК (с-х артель) ""Русь"" Шекснинского района";
72;;3242;Заявка Департамента сельского хозяйства , продовольственных ресурсов и торговли Вологодской области на участие в отборе;06.05.2013;;;;"ООО ""Агропромышленная корпорация ""Вологодчина""";
73;;4730;Заявка Департамента сельского хозяйства , продовольственных ресурсов и торговли Вологодской области на участие в отборе;05.07.2013;;;;"ООО ""Искра"" Шекснинского района;
ООО ""Искра"" Шекснинского района;
ИП ГКФХ Юшкевич Н.Ф. (№125021/0003 от 26.03.12);
ИП ГКФХ Юшкевич Н.Ф. (№125021/0004 от 26.03.12);
Сельскохозяйственная артель (колхоз) им.Калинина Грязовецкого района (№125006/0051 от 06.06.12);
ООО ""Искра"" Шекснинского района (№8638/9/12011 от 11.09.12);
Племзавод-колхоз ""Аврора"" Грязовецкого района (№8638/9/13843/12 от 03.06.13);
ООО ""Буров"" Устюженского района (№105012/0029 от 12.08.10)";
74;;3241;Заявка Департамента сельского хозяйства , продовольственных ресурсов и торговли Вологодской области на участие в отборе;06.05.2013;;;;"ООО ""Агропромышленная корпорация ""Вологодчина""";
75;;4732;Заявка Департамента сельского хозяйства , продовольственных ресурсов и торговли Вологодской области на участие в отборе;05.07.2013;;;НЕТ РЕЕСТРА;"ЗАО ""Шексна"";
ООО ""Вага"";
 СПК ""Агрофирма ""Красная Звезда"";
СПК ""Русь"";
СПК ""Русь"" (№8638/9/12361 от 14.12.12);
ООО АПК ""Росзерно"";
СПК ""Новая Вохтога""(№125006/0032 от 03.05.12) ;
ООО СХП ""Устюгмолоко"" ;
ЗАО ""Союз"" - племенной завод Сокольского района;
колхоз ""Южок"" ";
76;;5332;Заявка Департамента сельского хозяйства , продовольственных ресурсов и торговли Вологодской области на участие в отборе;05.08.2013;;;;"ИП ГКФХ Юшкевич Н.Ф. (№125021/0004 от 26.03.12);
СПК колхоз ""Пожарское (№№125021/0017 от 25.09.12);
СПК ""Племптица-Можайская"" (№8638/13109 от 22.04.13);
СХПК колхоз ""Новленский"" (№125000/0333 от 30.05.12);
СПК ""Анохинский"" (№8638/0/13839 от 26.04.13);
СПК ""Анохинский"" (№8638/0/13840 от 30.04.13);
СПК (колхоз) ""Коминтерн-2"" (№125005/0009 от 28.08.12);
СПК (колхоз) ""Коминтерн-2"" (№125005/0007 от 26.06.12);
СПК (колхоз) ""Майский"" (№135016/0012 от 30.04.13);
СПК (колхоз) ""Майский"" (№135016/0033 от 14.09.12);
Колхоз ""Анишино"" (№1350010/0005 от 26.04.13);
СПК колхоз ""Пожарское"";
ООО СХП ""Устюгмолоко"";
СПК (колхоз) ""Комитерн-2"";
СПК (колхоз) ""Комитерн-2"";
СПК (колхоз) ""Комитерн-2"";
СПК (колхоз) ""Комитерн-2"";
СПК (колхоз) ""Комитерн-2""";
77;Воронежская область ;60-01-13/349;Заявка Департамента аграрной политики Воронежской области на участие в отборе;04.12.2013;;;;"ООО ""Перелешинский сахарный завод""
ОАО ""Лискисахар""
ООО ""Эртильский сахар""";
78;;60-01-13/342;Заявка Департамента аграрной политики Воронежской области на участие в отборе;13.11.2013;;;;"ООО ""Лозовое"";                                                            ООО ""СП ""Новомарковское""№ 725000/2013/00133;                                                           ООО ""СП"" Новомарковское"" № 725000/2013/00051; ООО ""Ряба""; ООО ""СП"" Новомарковское"" № 725000/2013/00171; ";
79;;60-02-13/1790;Заявка Департамента аграрной политики Воронежской области на участие в отборе;28.11.2013;;;;"ООО ""Птицепром Бобровский""";
80;;60-01-13/348;Заявка Департамента аграрной политики Воронежской области на участие в отборе;04.12.2013;;;;"ООО ""Авангард-Агро-Воронеж"" № 033/13-КД
ООО ""Авангард-Агро-Воронеж"" № 305/13-КД
ООО ""Авангард-Агро-Воронеж"" № 415/13-КД
ООО ""Авангард-Агро-Воронеж"" № 473/13-КД
ООО ""Авангард-Агро-Воронеж"" № 558/13-КД;";
81;;60-02-13/350;Заявка Департамента аграрной политики Воронежской области на участие в отборе;04.12.2013;;;;"ЗАО ""им. Тимирязева"" № 952213050
ЗАО ""им. Тимирязева"" № 952213046";
82;;60-01-13/317;Заявка Департамента аграрной политики Воронежской области на участие в отборе;31.10.2013;;;;"ООО ""СП ""Новомарковское"" № КС-725000/2013/0049
ООО ""СП ""Новомарковское"" № КС-725000/2013/0132
ООО ""Зеленый лук""
ЗАО ""Дон""";
83;;60-02-03/1789;Заявка Департамента аграрной политики Воронежской области на участие в отборе;28.11.2013;;;;"ООО ""Эко продукт""";
84;;60-02-03/316;Заявка Департамента аграрной политики Воронежской области на участие в отборе;31.10.2013;;;;"ОАО ""Ольховатский сахарный завод""";
85;;60-01-03/340;Заявка Департамента аграрной политики Воронежской области на участие в отборе;13.11.2013;;;;"ООО ""Степ""";
86;;60-01-13/232;Заявка Департамента аграрной политики Воронежской области на участие в отборе;28.08.2013;;;;"ООО ""АГРОЭКО-ВОСТОК""";
87;;60-01-13/300;Заявка Департамента аграрной политики Воронежской области на участие в отборе;25.10.2013;;;;"ЗАО ""Павловскагропродукт""";
88;;60-02-03/1792;Заявка Департамента аграрной политики Воронежской области на участие в отборе;28.11.2013;;;;"ИП глава КФХ Гончаров Юрий Алексеевич
ООО ""Калачеевский Хлебозавод""
ООО ""ЦЧ АПК""";
89;;60-02-03/1788;Заявка Департамента аграрной политики Воронежской области на участие в отборе;28.11.2013;;;;"ООО ""Агротехнология""
ООО ""Комсомольское"" (№311071)
ООО ""Хозяйский двор"" (№111418/0036)
ООО ""Хозяйский двор"" (№111418/0037)
ООО ""Хозяйский двор"" (№111400/0061)
ЗАО ""Родина"" (№952312001)";
90;;60-01-13/123;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;30.05.2013;;;;"ООО ""Лискинская инвестиционностроительная компания ""Бройлер""";
91;;60-01-13/121;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;30.05.2013;;;;"ООО ""Зерновой Дом""";
92;;60-01-13/122;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;30.05.2013;;;;"ОАО ""Ольховатский сахарный завод""";
93;;60-01-13/133;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;05.06.2013;;;;"ООО ""Селекционно-гибридный  центр""";
94;;60-01-13/261;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;19.09.2013;;;;"ООО ""Авангард-Агро-Воронеж"" ";
95;;60-01-13/234;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;28.08.2013;;;;"ООО ""МТС-Агро""";
96;;60-01-13/1361;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;08.08.2013;;;;"ООО ""Лозовое""";
97;;60-01-13/1362;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;08.08.2013;;;;"ООО ""Лозовое""";
98;;60-01-13/347;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;04.12.2013;;;;"ООО ""Авангард-Агро-Воронеж"" 
ООО ""Авангард-Агро-Воронеж"" 
ООО ""Авангард-Агро-Воронеж""";
99;;60-02-03/1791;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;28.11.2013;;;;"ООО ""Триумф""";
100;;60-01-13/341;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;13.11.2013;;;;"ООО ""Альянс М""
ООО ""Альянс М""
ООО ""Агро-Гарант""
ООО ""Дружба""(№121402/0001 от 15.02.12)";
101;;60-01-13/262;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;19.09.2013;;;;"ИП Глава КФХ Пысларь И.С.
ИП Глава КФХ Пысларь И.С.
ИП Глава КФХ Пысларь И.С.
ИП Глава КФХ Пысларь И.С.
ИП Глава КФХ Пысларь И.С.(№711063 от 30.09.2011)
ИП Глава КФХ Пысларь И.С.(№101413/0026 от 03.09.2010)";
102;;60-01-13/253;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;16.09.2013;;;;"ООО ""Воронежмясопром""";
103;;60-01-13/254;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;16.09.2013;;;;"ООО ""Воронежмясопром""";
104;;60-01-13/255;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;16.09.2013;;;;"ООО ""Воронежмясопром""";
105;;60-01-13/252;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;16.09.2013;;;;"Колхоз ""Большевик""";
106;;60-02-03/1844;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;05.12.2013;;;;"ООО ""Авангард-Агро-Воронеж""";
107;;60-02-03/1531;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;26.09.2013;;;;"ООО ""Запольное""
ООО ""Запольное""
ООО ""Запольное""
ООО ""Ресурс""
ООО ""Ресурс""";
108;;60-02-13/124;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;30.05.2013;;;;"ООО ""Заречное""";
109;;60-02-13/125;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;30.05.2013;;;;"ООО ""Заречное""";
110;;60-03-02/1360;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;08.08.2013;;;;ИП Глава КФХ Грудинин Вячеслав Викторович;
111;;60-01-13/313;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;31.10.2013;;;;"ИП Глава КФХ Городетский Алексей Иванович
СПК ""Тойда-Агро""(№111411/026 от 15.12.11)
ООО ""Агротех-Гарант"" Хлебородное (№0311024 от 12.04.11)
ООО ""Агротех-Гарант"" Хлебородное
ООО ""Ближнеполубянское"" (№101416/0037 от 11.10.10)";
112;;60-02-03/1788;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;28.11.2013;;;;"ООО ""Агротехнологии"" (№121418/0060 от 08.10.12)
ООО ""Комсомольская"" (№311071 от 19.12.11)
ООО ""Хозяйский двор"" (№111418/0036 от 11.08.11)
ООО ""Хозяйский двор"" (№111418/0037 от 12.08.11)
ООО ""Хозяйский двор""(№111400/0061 от 18.07.11)
ЗАО ""Родина""";
113;Владимирская область;ДСХП-4551-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;11.12.2013;;;;"ЗАО ""Суворовское""";
114;;ДСХП-1661-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;08.05.2013;;;;"СПК ""Небыловский """;
115;;ДСХП-4784-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;24.12.2013;;;;ИП Петросян Г.Р.;
116;;ДСХП-2983-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;22.08.2013;;;;"СПК ""Спасская""";
117;;ДСХП-2326-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;12.07.2013;;;;"ООО ""Лемзавод""Нива""";
118;;ДСХП-2325-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;12.07.2013;;;;"ООО ""Борисоглебское""";
119;;ДСХП-4024-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;28.10.2013;;;;"ООО ""Рождество""";
120;;ДСХП-3392-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;25.09.2013;;;;"ЗАО ""Чаадаевское""";
121;;ДСХП-4311-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;27.11.2013;;;;"СПК ""Мир""";
122;;ДСХП-4312-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;27.11.2013;;;;"ООО ""ГК""Сельхозпродукт""
ООО ""Борисовское""";
123;;ДСХП-3391-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;25.09.2013;;;;"ООО ""Красное заречье""";
124;;ДСХП-4740-09-08;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;20.12.2013;;;;"ЗАО ""Агропром""";
125;;ДСХП-3997-10-07;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;25.10.2013;;;;"ООО ""Ручейки""
СПК ""Веска""
ОАО ""Мордыш""
ОАО ""Имени Лакина""
СПК ""Красногорбатский""
СПК ""Дмитриевы горы""
СПК ""Дмитриевы горы""";
126;;ДСХП-4086-10-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;01.11.2013;;;;"ООО ""Агрофирма Камешковский""
ООО ""Агрофирма Камешковский""";
127;;ДСХП-2928-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;20.08.2013;;;;"СПК ""Ополье""
ООО ""Сельскохозяйственное производство Новое""";
128;;ДСХП-1146-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;08.04.2013;;;;"СПК ""Веска""
ООО ""СП ""Нестерово""
ООО ""Ручейки""(№134107/0009)
СПК ""Шихобалово""";
129;;ДСХП-1147-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;08.04.2013;;;;"ООО имени Лакина
ООО ""Птицефабрика ""Центральная""
СПК ""Ополье""";
130;;ДСХП-4023-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;28.10.2013;;;;"ООО ""Зерно""(№№8611-000-100-46)
ООО ""Зерно""(№8611-000-100-45)
СПК ""Веска""
СПК ""Бабаево""";
131;;ДСХП-4228-09-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;18.11.2013;;;;"нет реестра
ИП Глава КФХ Авакян Борис Рафикович";
132;;ДСХП-1662-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;08.05.2013;;;;"СПК ""Небыловский ""
НЕТ РЕЕСТРА";
133;Ивановская область;13.08.3645;Заявка Департамента сельского хозяйства и продовольствия Ивановской области на участие в отборе;26.11.2013;;;;"СПК ""Палехский-Агро""
ООО ""Агро-Эксперт""";
134;;13.08.3717;Заявка Департамента сельского хозяйства и продовольствия Ивановской области на участие в отборе;29.11.2013;;;;"СПК ""Перемиловский""";
135;;13.08.3718;Заявка Департамента сельского хозяйства и продовольствия Ивановской области на участие в отборе;29.11.2013;;;;"ООО ""Агро-Партнер""
ООО ""Агро-Партнер""";
136;;13.08.3644;Заявка Департамента сельского хозяйства и продовольствия Ивановской области на участие в отборе;26.11.2013;;;;"ООО ""Восход""
СПК ""Савино""
СПК ""Савино""
СПК ""Племенной завод имени ""Дзержинского""";
137;;13.08.3643;Заявка Департамента сельского хозяйства и продовольствия Ивановской области на участие в отборе;26.11.2013;;;;"СПК ""Афанасьевский""
ООО ""Славянка""
ООО ""Славянка""
СПК ""Рассвет""
СПК ""Рассвет""
СПК ""Авангард""
СПК ""Племенной завод имени ""Дзержинского""
СПК ""Племенной завод имени ""Дзержинского""
СПК ""Племенной завод имени ""Дзержинского""
СПК ""Племенной завод имени ""Дзержинского""
Глава КФХ Красильников Николай Николаевич
Глава КФХ Красильников Николай Николаевич";
138;;13.08.2380;Заявка Департамента сельского хозяйства и продовольствия Ивановской области на участие в отборе;21.08.2013;;;;"ООО ""Нива""";
139;;13-8-2378/1;Заявка Департамента сельского хозяйства и продовольствия Ивановской области на участие в отборе;21.08.2013;;;;ИП Азарян Азар Мкртичович;
